"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Проверка плейсхолдеров плана Рассрочка","Проверка плейсхолдеров","","0","0","1","0","0"
"Функциональное тестирование MTS.by","Проверка плейсхолдеров","","0","0","4","0","0"
"Оплата мобильного телефона - Проверка иконки 'Mastercard'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона","Проверка полей формы оплаты","","0","0","12","0","0"
"Проверка плейсхолдеров плана услуг","Проверка плейсхолдеров","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка иконки 'Visa'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка плейсхолдера 'CVC'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка иконки 'BelCard'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка суммы на кнопке оплаты","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка плейсхолдера 'Срок действия'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка иконки 'MIR' или 'Maestro'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка плейсхолдера 'Номер карты'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка фрейма оплаты","Проверка полей формы оплаты","","0","0","1","0","0"
"Проверка плейсхолдеров плана Задолженность","Проверка плейсхолдеров","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка плейсхолдера 'Имя держателя (как на карте)'","Проверка полей формы оплаты","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка суммы оплаты","Проверка полей формы оплаты","","0","0","1","0","0"
"Проверка плейсхолдеров плана Домашний интернет","Проверка плейсхолдеров","","0","0","1","0","0"
"Оплата мобильного телефона - Проверка номера телефона","Проверка полей формы оплаты","","0","0","1","0","0"
